701	2	40	2
702	29	72	33
704	3	52	3
705	25	52	32
706	21	94	21
707	7	58	7
708	51	72	64
709	18	92	18
711	14	76	15
712	3	30	4
713	16	88	16
714	10	78	10
715	30	42	50
716	7	36	8
722	20	62	23
723	6	30	7
724	10	16	21
725	17	80	17
727	9	12	29
729	2	38	2
730	52	68	69
733	55	56	97
735	21	52	26
737	18	94	18
738	9	14	23
739	3	96	3
740	7	66	8
743	4	54	4
745	1	18	1
746	19	56	23
747	7	64	8
749	10	76	10
750	32	64	39
751	32	32	100
752	4	98	4
753	5	76	6
755	3	44	3
757	45	76	53
760	18	42	25
761	7	84	8
763	6	64	6
770	1	60	1
771	35	88	37
772	13	94	13
776	2	64	2
782	9	100	9
792	4	90	4
794	6	48	7
795	12	12	86
798	56	80	65
801	48	50	93
802	38	86	41
804	9	76	10
806	68	72	92
808	9	52	10
810	19	40	26
811	47	72	58
812	18	62	20
816	83	86	96
817	13	52	15
818	3	80	3
820	4	74	4
821	31	78	34
822	0	4	0
824	1	38	1
825	23	56	28
826	50	70	64
829	12	62	13
830	22	58	26
831	46	68	59
834	19	64	21
835	0	0	0
836	20	94	20
837	38	52	58
838	4	80	4
841	31	82	33
846	36	76	41
847	32	52	46
849	72	86	81
850	8	72	9
